grid,laps,year,round,driver_age,driver_experience,constructor_experience,constructorId,circuitId,avg_grid_last_5_cat,avg_finish_last_5_cat,podium_finish
10,37,1951,4,55,8,55,154,55,back,average,0
7,24,1961,3,29,35,88,66,13,mid,weak,0
3,52,2022,10,25,90,2322,6,9,front,weak,0
7,57,2023,1,38,310,560,131,3,front,average,0
1,78,2016,6,27,93,418,9,6,front,strong,1
11,55,2011,3,28,73,112,10,17,back,weak,0
15,33,1983,6,34,134,430,1,13,back,weak,0
5,89,1970,11,36,97,4,63,52,back,weak,0
16,89,1972,3,28,1,74,37,45,back,weak,0
22,0,1981,2,24,1,116,56,36,back,weak,0
13,68,1994,14,31,45,746,25,26,back,weak,0
3,72,1959,8,33,23,39,170,14,front,average,1
13,69,1996,15,30,33,814,25,27,back,weak,0
19,74,1973,7,39,3,12,58,47,back,weak,0
3,72,1982,9,30,56,373,34,39,mid,average,1
25,48,1984,14,30,7,19,52,14,back,weak,0
0,0,1963,10,23,2,33,26,56,back,weak,0
8,58,2010,7,29,122,1842,6,5,mid,average,0
8,66,2023,7,42,364,111,117,4,front,strong,0
22,7,1955,7,38,0,86,128,14,back,weak,0
16,0,1990,14,28,21,75,35,26,back,weak,0
22,76,1990,4,26,51,375,21,6,back,weak,0
21,35,1978,13,33,39,293,1,39,back,weak,0
6,71,2021,13,27,131,2283,6,39,back,average,0
8,76,1977,16,23,7,129,58,48,back,weak,0
3,90,1967,3,41,87,21,191,39,front,average,1
22,46,1981,12,23,28,339,25,39,back,weak,0
3,56,2010,4,29,143,1835,6,17,mid,average,0
7,52,2015,14,26,82,396,9,22,mid,average,0
8,60,2016,11,36,297,1564,1,11,back,weak,0
0,0,1982,8,25,20,147,56,7,mid,weak,0
7,69,2016,11,35,263,1563,1,11,back,weak,0
14,70,2016,19,24,38,623,4,32,back,weak,0
22,30,1952,3,44,0,21,141,13,back,weak,0
16,78,2015,6,26,43,1270,3,6,mid,average,0
21,200,1953,2,29,0,63,113,19,back,average,0
19,59,2002,9,31,107,116,16,20,back,weak,0
4,45,2009,14,33,136,170,9,15,mid,weak,0
8,55,2017,20,27,135,380,10,24,mid,average,0
7,69,1994,1,26,32,33,15,18,back,average,0
11,53,2022,12,33,190,385,51,34,mid,weak,0
25,51,1990,12,31,150,70,35,14,back,weak,0
18,69,2008,11,35,206,21,10,11,back,weak,0
19,52,2003,16,28,114,851,3,22,mid,weak,0
16,70,1996,9,32,91,114,15,8,back,weak,0
21,13,1998,14,27,30,429,18,14,back,weak,0
16,74,1989,5,32,94,373,3,33,mid,weak,0
0,0,1977,5,32,6,0,68,45,back,weak,0
15,27,1994,4,22,19,102,17,6,mid,weak,0
16,58,2011,4,23,39,184,5,5,back,weak,0
13,63,2022,4,35,281,61,117,21,back,weak,0
3,70,2014,11,25,29,1242,3,11,front,strong,0
1,27,2002,9,27,25,804,3,20,front,weak,0
19,63,2015,5,24,4,6,209,4,back,weak,0
13,46,1960,7,38,35,10,117,9,back,weak,0
9,36,1956,4,27,26,254,105,13,front,average,1
27,200,1954,2,32,6,102,113,19,back,weak,0
6,43,1995,12,23,43,150,17,14,mid,weak,0
20,52,1993,13,30,44,176,33,14,back,weak,0
1,62,2003,4,34,182,1590,6,21,front,average,1
10,4,2005,3,32,144,338,4,3,mid,weak,0
22,50,1997,13,21,7,392,18,14,back,weak,0
10,33,2003,13,37,137,59,7,11,mid,weak,0
11,69,2021,9,34,266,27,117,70,back,average,0
19,82,1952,5,30,0,69,6,9,back,average,0
9,20,1972,9,27,56,640,6,70,front,weak,0
18,51,2005,15,24,3,663,18,14,back,weak,0
6,79,1974,9,34,48,116,1,41,mid,weak,0
5,52,2021,1,25,64,34,213,3,mid,weak,0
24,3,1986,7,27,5,27,18,37,back,weak,0
17,20,1983,4,31,58,59,53,21,back,weak,0
3,79,1971,1,32,8,592,6,30,front,strong,1
20,53,1977,12,22,7,79,64,70,back,weak,0
17,45,1987,16,33,50,16,33,29,back,weak,0
16,22,2013,9,23,28,273,5,20,back,weak,0
15,53,2020,10,24,30,593,9,71,mid,average,0
17,69,1974,8,31,3,10,57,39,back,weak,0
14,14,2012,19,22,18,253,5,69,back,weak,0
23,52,1990,15,26,61,397,21,22,back,average,0
11,14,1957,6,29,9,336,105,20,mid,weak,0
3,55,2009,17,33,139,176,9,24,mid,weak,1
24,7,1978,12,30,24,84,57,70,back,weak,0
25,31,1991,7,35,159,12,29,8,back,weak,0
6,57,2023,17,22,16,1864,1,78,mid,average,1
20,73,1987,9,28,23,62,18,11,back,weak,0
17,2,1956,6,33,1,7,66,9,back,weak,0
26,9,1986,14,32,26,35,49,27,back,weak,0
19,70,1976,7,33,36,257,37,47,back,weak,0
1,40,1960,1,31,57,52,170,25,front,average,0
6,77,1951,4,33,7,25,6,55,front,average,1
6,39,1977,7,31,52,209,1,40,back,average,0
16,40,1986,5,40,105,86,26,13,back,weak,0
16,3,1977,10,33,101,206,25,9,back,weak,0
18,53,1980,10,26,47,76,21,70,back,average,0
2,2,1960,5,28,28,70,170,13,front,weak,0
24,58,2011,4,25,24,479,15,5,back,weak,0
8,20,1987,1,33,83,272,21,36,back,weak,0
2,15,1963,6,29,26,444,6,20,mid,average,1
18,43,2002,14,25,46,321,15,13,back,average,0
23,71,1979,3,23,24,365,32,30,back,weak,0
12,23,2014,11,24,67,245,10,11,back,weak,0
12,77,1994,4,38,202,277,18,6,back,weak,0
10,57,2013,4,33,233,1435,1,3,mid,average,0
19,49,1958,11,32,16,92,87,64,back,weak,0
1,63,2022,4,25,144,659,9,21,front,average,1
3,53,2024,16,26,119,635,131,14,mid,weak,0
17,79,1974,9,37,80,525,66,41,back,weak,0
15,29,2017,9,25,49,59,210,70,back,weak,0
14,52,2021,7,23,44,1509,3,34,back,weak,0
3,66,2021,3,24,121,613,9,75,front,strong,1
22,25,2001,6,25,17,511,18,70,back,weak,0
4,72,1990,1,26,8,592,25,33,back,average,1
5,10,1956,4,26,10,239,6,13,front,average,0
20,55,2021,20,22,19,238,210,78,back,weak,0
4,53,2018,16,39,288,2171,6,71,front,average,0
3,62,2002,4,27,86,793,3,21,front,average,1
12,71,2015,17,29,80,148,208,32,mid,weak,0
20,17,2004,5,23,6,607,18,4,back,weak,0
11,52,2020,5,33,245,2233,6,9,mid,weak,0
15,0,1982,10,27,7,39,53,38,mid,weak,0
7,64,1977,8,29,22,290,32,47,back,average,0
4,69,2005,10,28,42,216,16,8,mid,weak,0
13,14,2001,15,36,127,63,19,14,back,weak,0
18,28,2003,7,31,97,578,18,6,back,weak,0
19,31,2001,4,28,77,493,22,21,back,weak,0
11,37,1985,16,28,41,240,21,29,back,average,0
0,70,2023,9,28,9,139,213,70,back,weak,0
14,63,2005,13,24,46,421,15,11,back,weak,0
1,55,1951,4,53,7,34,51,55,front,strong,0
24,2,1985,12,28,8,68,50,14,back,weak,0
3,50,2021,21,24,139,649,9,77,front,strong,1
5,69,2012,11,33,167,20,208,11,mid,strong,1
9,15,1970,8,30,7,35,37,10,mid,weak,0
0,0,1983,5,29,35,5,50,6,back,weak,0
12,24,1981,14,29,58,906,6,7,mid,weak,0
7,85,1974,5,37,76,514,66,50,back,average,0
5,78,2012,6,31,183,1915,6,6,mid,strong,1
9,50,1988,15,32,121,1124,6,22,mid,weak,0
19,52,1980,7,30,105,865,6,34,back,weak,0
15,58,1965,8,32,4,492,6,14,back,weak,0
6,29,1974,5,31,15,34,80,50,mid,weak,0
27,0,1982,16,36,127,67,45,44,back,weak,0
11,72,1987,13,31,59,570,1,26,back,average,1
21,57,2011,17,26,16,71,166,68,back,weak,0
23,31,1989,15,31,14,381,27,22,back,weak,0
12,2,1959,9,26,2,37,32,63,back,weak,0
12,65,2024,10,35,232,807,15,4,back,weak,0
19,4,1978,1,23,12,229,63,25,back,weak,0
16,33,1956,4,38,6,236,6,13,back,average,0
8,60,2004,11,27,28,186,16,9,mid,weak,0
1,78,1976,2,29,38,167,1,30,mid,average,1
4,70,1951,8,45,13,50,51,67,front,weak,1
6,56,1999,15,27,112,94,24,2,mid,average,0
21,61,1977,8,30,11,318,37,47,back,weak,0
4,52,2021,10,24,68,2278,6,9,mid,average,1
3,70,1985,11,30,85,502,1,39,front,strong,1
12,66,2019,5,25,85,1675,1,4,back,weak,0
16,70,2000,2,29,17,500,21,18,back,weak,0
12,69,1984,16,30,112,209,51,27,back,average,0
12,28,2019,1,30,150,712,4,1,mid,weak,0
16,39,2014,12,25,30,101,206,13,back,weak,0
14,53,2010,14,22,30,166,5,14,back,weak,0
3,81,1965,1,39,69,34,183,56,mid,weak,0
20,58,1960,7,30,8,23,167,9,back,weak,0
16,0,1986,2,30,25,11,49,26,back,weak,0
